"Activity","Position","X","Y","Z","curtime","curdate"
"Classification Data","Pocket","4.4844766","2.5044115","7.5515428","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.242655","2.7677817","7.7239304","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","2.3128695","2.17879","8.159689","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","3.407053","1.759792","7.7143536","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.740664","1.759792","7.307327","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.850801","1.9130256","8.516436","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","3.9792848","1.0008069","10.3193245","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","3.1149516","0.12450229","11.547587","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.000833","-0.69673395","10.431855","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","5.3512044","-1.0247496","9.153313","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.7598186","-0.44772938","6.5842557","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.95136","-1.175589","5.827665","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.814913","-1.8866886","8.217151","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","11.24112","-1.5850099","11.516461","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","10.424672","-1.2258687","8.9498","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","8.605023","-0.7877164","6.8332605","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.699988","-0.85954463","5.7031627","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","10.874796","-1.5275474","6.308914","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","14.020873","-0.86912173","8.241094","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","11.566742","-0.5027977","6.7901635","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","10.08708","-0.8044763","5.564295","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","8.509253","-0.80687064","3.615355","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","10.690437","-1.2354459","2.430189","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","11.430268","-1.6281068","6.6081986","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","12.227561","-1.8411974","7.24747","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","13.070346","-1.8771114","5.3512044","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","10.422278","-1.2593886","1.673598","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","8.293768","-2.116539","1.5754328","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","8.73192","-3.0096035","5.854002","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","8.978531","-3.5052183","7.1109962","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","8.674458","-3.1556542","6.5148215","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.0152254","-2.2554069","5.8228765","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","5.549929","-1.9106313","5.916253","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","6.038361","-2.535537","7.1229677","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.091842","-2.719896","8.71516","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.692805","-2.0686533","5.0375543","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.127756","-1.3743137","1.333611","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","5.791751","-1.664021","1.2210802","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.4174633","-1.8842943","3.258608","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.51084","-2.2338583","3.0622776","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","6.665661","-3.2777622","4.2665977","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.269018","-4.2211065","7.5395713","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","6.7829804","-4.786155","6.0263896","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","9.550762","-4.486871","6.7662206","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","10.637763","-3.6728175","2.466103","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","7.90829","-3.6369035","-0.47885495","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.807704","-4.8292522","0.03351985","1614254945","25-02-2021 12:09:05"
"Classification Data","Pocket","4.0032277","-6.1461034","1.7166951","1614254945","25-02-2021 12:09:05"
